This spreadsheet is based on Kedaliya's edition of the Śabdamaṇidarpaṇa of Kēśirāja. See https://github.com/aso2101/kannadaroots.,,,,,,
No.,Root,Meaning (Sanskrit),Meaning (English),Class,Compound?,Textual notes
1,ī,pradāne,to give.,ajanta,,
2,ō,snēhē,to love.,ajanta,,
3,kā,rakṣaṇē,to guard.,kanta,,
4,kī,raktapakvē,to become pus.,kanta,,
5,kē,śayanē,"to lie down,",kanta,,
6,kuṭaku,gāḍhapūraṇē,to cram into.,kanta,,
7,misuku,spandanē,to move.,kanta,,
8,musuku,avaraṇē,to cover.,kanta,,
9,"kusuku, kusuṅku",ghātanē,to strike.,kanta,,
10,"pisuku, pisuṅku",avajñātiśayē,to treat with great disrespect.,kanta,,
11,"kuṟuku, kuṟuṅku",khādanē,to eat etc.,kanta,,
12,muṟuku,mukhavikārē,"to distort the face, etc.",kanta,,
13,tuṟuku,gāḍhapravēśē,to force into.,kanta,,
14,nuṟuku,vr̥ddhihīnē,to be or become deficient in growth.,kanta,,
15,"iṟuku, iṟuṅku",nigrahagrahaṇē,"to hold firmly, etc.",kanta,,
16,sāku,rakṣaṇē,"to preserve, foster.",kanta,,
17,jarku,nakhaghātanē,to strike with the nails or claws.,kanta,,
18,nūṅku,prēraṇē,"to push on, etc.",kanta,,
19,soṅku,sparśanē,"to touch, etc.",kanta,,
20,kūṅku,utsarpanē,"to soar, etc.",kanta,,
21,teṅku,plavanē,"to float, swim.",kanta,,
22,avuṅku,dr̥ḍhapīḍanē,"to press firmly, etc.",kanta,,
23,kalaṅku,āḷōḍanē,"to stir up, etc.",kanta,,
24,"caluku, caluṅku",jalōtsarjanē,to pour out liquids.,kanta,,
25,"calaku, calaṅku",karavimācanē,"to loosen from out of the hand, etc.",kanta,,
26,"poḷaku, poḷaṅku",carvanakriyāyām,to chew.,kanta,,
27,paḷaṅku,gādhasparśanē,"to touch strongly or forcibly to push, etc.",kanta,,
28,"paluṅku, (paḻuku), nūṅku",,"to push, etc.",kanta,,
29,halaku,vr̥kṣarōhaṇē,"to climb, as a tree,",kanta,,
30,uluku,śarīrasphuranē,"the body to shake, etc.",kanta,,
31,muluku,prasavanakriyāyām,to be in labour.,kanta,,
32,kuluku,gādhapūranē,to fill with force.,kanta,,
33,"toḍaku, toḍaṅku",viparyasē,"to oppose, etc.",kanta,,
34,koṅku,kauṭilyē,"to get crooked, to bend.",kanta,,
35,baṅku,kauṭilyē,"to get crooked, to bend.",kanta,,
36,"tuḍuku, tuḍuṅku",satvaragrahaṇē,"to seize or grasp hastily, etc.",kanta,,
37,"puḍuku, puḍuṅku",karānvēṣaṇē,"to search for with the hands, etc.",kanta,,
38,"miḍuku, miḍuṅku",caitanyē,"to recover consciousness, etc.",kanta,,
39,"iḍuku, iḍuṅku",gāḍhavimocanē,"to unloose vehemently, etc.",kanta,,
40,aḍaku,sthānāntarapraṇītē,"to put in another place, etc.",kanta,,
41,kuḍuku,cañcughātanē,to peck.,kanta,,
42,"karduku, karduṅku",laghucañcughatanē,to peck lightly.,kanta,,
43,"barduku, barduṅku",jīvanārthē,to live.,kanta,,
44,bedaku,anvēṣaṇē,to search for.,kanta,,
45,kuḍuku,īṣatpradhavanē,to wash gently.,kanta,,
46,muḍuku (muduhu),śarīropaguhanē,to embrace the body.,kanta,,
47,minuku,antargatasvanē,"to speak in an indistinct tone, etc.",kanta,,
48,heṇaku,kadarthanē,to irritate or provoke.,kanta,,
49,kuṇuku,musalakriyāyām,"to pound,",kanta,,
50,koṇaku,mr̥galaṅghanē,"to leap, as a wild beast.",kanta,,
51,tiṇuku,apānavāyau,to fart.,kanta,,o.r. tiṇaku
52,bikku,ucchvāsē,"to sigh, sob,",kanta,,
